Label,EmailText
ham,"Go until jurong point,crazy…Available only in bug is in great world la e buffet…Cine there got amore wat…"
ham,Ok lar…Joking wif u oni..
,Free entry in 2 a weekly comp to win FA Cup final tkts 21st May 2005.Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's
ham,U dun say so early hor...U c already then say…
ham,"Nah I don't think he goes to usf,he lives around here though"
spam,FreeMsg Hey thre darling it's been 3 week's now and no word back! I'd like some fun you up for still? Tb ok! XxX std chgs to send
ham ,Even my brother is not like to speak with me.They treat me like aids patient.
ham,As per your request 'Melle Melle(Oru Minnaminunginte Nurungu Vettam)' has been set as your callertunr for all Callers.Press *9 to copy your friends Callertune
spam,WINNER!!As a valued network customer you have been selected to receive a $60000 prize reward! To claim call 099061701461. Claim code KL341. Valid 12 hours only.
spam,Had your mobile 11 months or more? U R entitled toUpdate to the latest colour mobiles with camera for Free ! Call TheMobile Update Co FREE on 08002986030
ham,"I'm gonna be home soon and I don't want to talk about thie stuff anymore tonight,k? I've cried enough today."
spam,"SIX chances to win CASH! From 100 to 20,000pounds txt>CSH11 and send to 87575.Cost 150p/day,, 6days, 16+ TsandCs apply Reply HL 4 info"
spam,"URGENT! You have won a 1 week FREE membership in our $100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18"
ham,I've been searching for the right  words to thank you for this breather.I promise I wont take your help for granted  and will fulfil my promise. You have been wonderful and a blessing at all tmes.
ham,I HAVE A DATE ON SUNDAY WITH WILL!!
spam,"MobileMovieClub: To use your credit ,click the WAP linkin the next txt message or click here>>http://wap.mobilemovieclub.com?n=QJKGIGHJJGCBL"
ham,Oh k…I'm watching here:)
ham,Eh u remember how 2 spell his name…Yes I did .He v naughty make until I ve wet.
ham,Fine if that  s the way u feel .That  s the way its gota b
spam,England v Macedonia - don’t miss the goals/team news.
ham,Is that seriously how you spell his name?
ham,.m going to try for 2 months ha ha only joking
ham,So  pay first lar.. Then when is da stock comin…
ham,Aft i finish my lunch then I go str down lor.A 3rd smth lor. U finish ur lunch already?
ham,Ffffffffff. Alright no way I can meet up with you sooner?
ham ,Just forced myself to eat a slice. I'm really not hungry tho.This sucks. Mark is getting worried. He Knows I'm sick when I turn down pizza.Lol
ham,Lol your always so convincing.
ham,Did you catch the bus ? Are you frying an egg? Did you make tea? Are you eating your mom's left over dinner ? Do you feel my Love ?
ham,I'm back &amp:we're packing the car now. I'll let you know if there's room
